Company,Year Founded,Email,Confidence,Source
"Ehsai",2025,"name@yourcompany.com",0.5,"Website scraping"
"Nirvanic Consciousness Technologies",2024,"info@nirvanic.com",1,"Common patterns"
"AI Community Conference - Vancouver",2022,"info@techconferences.com",0.7,"Website scraping"
"Defang Software Labs",2022,"support@defang.io",1,"Website scraping"
"ModeMagic",2021,"info@modemagic.com",1,"Common patterns"
"MATT3R",2021,"info@matt3r.com",1,"Common patterns"
"Nexera Robotics",2021,"example@domain.com",0.5,"Website scraping"
"Quandri",2021,"info@quandri.io",1,"Common patterns"
"Manzil",2020,"info@getmanzil.com",1,"Common patterns"
"IAMGOLD Innovation",2019,"info@iamgold.com",1,"Website scraping"
