Organization Name,Website URL,Notes
Microsoft Vancouver,https://www.microsoft.com/en-us/research/group/microsoft-research-asia-vancouver/,Microsoft Research Asia Vancouver lab
Google Vancouver,https://careers.google.com/locations/vancouver/,Google Vancouver careers page
IBM Vancouver,https://www.ibm.com/ca-en,IBM Canada main site
Meta Vancouver,https://www.metacareers.com/locations/vancouver,Meta careers Vancouver
SAP Canada (Vancouver),https://www.sap.com/canada/index.html,SAP Canada main site
Hootsuite,https://www.hootsuite.com/,Social media management platform
Aspect Biosystems,https://www.aspectbiosystems.com/,3D bioprinting with AI
Absolute Software Vancouver,https://www.absolute.com/,Endpoint security
Deloitte Omnia AI,https://www2.deloitte.com/ca/en/pages/deloitte-analytics/solutions/omnia-ai.html,Deloitte AI platform
Cisco Systems (Vancouver),https://www.cisco.com/c/en_ca/index.html,Cisco Canada
Creative Destruction Lab (CDL),https://creativedestructionlab.com/locations/vancouver/,CDL Vancouver
Brightspark Ventures,https://brightspark.com/,Early-stage VC
Pender Ventures,https://www.penderventures.com/,B2B software VC
Kensington Capital Partners,https://www.kcpl.ca/,Private equity firm
Raven Indigenous Capital Partners,https://ravencapitalpartners.ca/,Indigenous-led VC
Axiom Zen,https://www.axiomzen.com/,Venture studio
Finn AI,https://www.glia.com/,Acquired by Glia
Finn.ai,https://www.glia.com/,Same as Finn AI - duplicate
Terramera,https://www.terramera.com/,AgTech AI
4AG Robotics,https://4ag.ai/,Mushroom harvesting robots
Unity Technologies (Vancouver),https://unity.com/,Game engine with AI
Fujitsu,https://www.fujitsu.com/ca/,Fujitsu Canada
Grammarly,https://www.grammarly.com/,AI writing assistant
Amplitude Ventures,https://amplitudevc.com/,Precision medicine VC
Graphics Artificial Intelligence Design and Games (GAIDG) Lab,https://www.uvic.ca/engineering/computerscience/research/labs/gaidg/index.php,UVic research lab
SFU Computing Science & Creative AI Labs,https://www.sfu.ca/computing.html,SFU computing department
UBC Centre for AI Decision-making and Action (CAIDA),https://caida.ubc.ca/,UBC AI research center
University of Victoria (UVic) AI Research,https://www.uvic.ca/research/centres/rigi/research/index.php,UVic research
Vancouver Angel Network (VANTEC),https://www.vantec.ca/,Angel investor network
Spring Activator,https://www.spring.is/,Tech accelerator
VIATEC AI Meetups,https://www.viatec.ca/,Victoria tech association
Dooly.ai,https://www.dooly.ai/,Sales enablement AI - shutting down June 2025
Picovoice,https://picovoice.ai/,On-device voice AI
Victory Square Technologies,https://victorysquare.com/,Venture builder
Scoop Robotix,https://scoorobotics.com/,Agricultural robotics
MarineLabs,https://marinelabs.io/,Ocean intelligence AI
Precision OS,https://www.precisionostech.com/,Medical VR training
Flutter Care,https://fluttercare.com/,Digital health AI
Fobi AI,https://www.fobi.ai/,Data analytics AI
Levr.ai,https://levr.ai/,FinTech AI
Safety CLI Cybersecurity,https://safetycli.com/,Security tools
VodaSafe,https://vodasafe.com/,Water safety tech
SkyHive,https://www.skyhive.ai/,Workforce analytics AI
Planview (Vancouver),https://www.planview.com/,Enterprise software
Persistent Systems,https://www.persistent.com/,Digital engineering
OnDeck Fisheries AI,https://www.ondecksystems.com/,Marine AI
ThisFish Inc.,https://thisfish.info/,Seafood traceability
WildlifeAI,https://www.wildlifeai.org/,Conservation AI
SparkGeo,https://www.sparkgeo.com/,Geospatial analytics
Softmax Data Inc.,https://www.softmaxdata.com/,Data science consulting
TerraSense Analytics,https://terrasense.ca/,Remote sensing AI
Spexi,https://www.spexi.com/,Drone mapping AI
Quandri,https://www.quandri.io/,Insurance automation AI
